,time,positions_axis_1,positions_axis_2,positions_axis_3,positions_axis_4,positions_axis_5,positions_axis_6,velocities_axis_1,velocities_axis_2,velocities_axis_3,velocities_axis_4,velocities_axis_5,velocities_axis_6,accelerations_axis_1,accelerations_axis_2,accelerations_axis_3,accelerations_axis_4,accelerations_axis_5,accelerations_axis_6
0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,-0.0003179200449448997,0.0003644524795578586,0.00028769759528702855,-0.0008,0.0003255083547193897,0.0007725429282439377,-0.3179200449448997,0.3644524795578586,0.28769759528702854,-0.8,0.3255083547193897,0.7725429282439378
1,0.1,-0.001589600224724495,0.0018222623977892885,0.17143848797643516,-0.0039999999999999905,0.001627541773596945,0.0038627146412196795,-0.03179200449448979,0.03644524795578565,0.028769759528702688,-0.07999999999999954,0.03255083547193879,0.07725429282439332,-0.3179200449447761,0.36445247955771387,0.2876975952869167,-0.7999999999996892,0.32550835471926276,0.7725429282436351
2,0.2,-0.006358400898897974,0.007289049591157148,0.17575395190574056,-0.01599999999999995,0.0065101670943877735,0.015450858564878704,-0.06358400898897908,0.07289049591157072,0.05753951905740492,-0.1599999999999978,0.06510167094387705,0.15450858564878542,-0.31792004494414466,0.36445247955697835,0.2876975952863442,-0.7999999999980794,0.32550835471860357,0.7725429282420808
3,0.3,-0.013909001966339351,0.0159447959806563,0.1825867697938075,-0.03499999999999997,0.01424099051897329,0.03379875311067224,-0.07948001123622528,0.09111311988946505,0.07192439882175744,-0.20000000000000087,0.08137708867984779,0.19313573206098528,-3.4625219081373296e-13,3.878024537113809e-13,3.04701927916085e-13,-8.587054332180577e-13,3.4625219081373296e-13,8.310052579529591e-13
4,0.4,-0.021857003089961857,0.025056107969602778,0.18977920967598322,-0.055,0.022378699386958047,0.05311232631677072,-0.07948001123622528,0.09111311988946505,0.07192439882175744,-0.20000000000000087,0.08137708867984779,0.19313573206098528,-3.4625219081373296e-13,3.878024537113809e-13,3.04701927916085e-13,-8.587054332180577e-13,3.4625219081373296e-13,8.310052579529591e-13
5,0.5,-0.02980500421358437,0.034167419958549265,0.19697164955815896,-0.07500000000000005,0.030516408254942808,0.07242589952286921,-0.07948001123622528,0.09111311988946505,0.07192439882175744,-0.20000000000000087,0.08137708867984779,0.19313573206098528,-3.4625219081373296e-13,3.878024537113809e-13,3.04701927916085e-13,-8.587054332180577e-13,3.4625219081373296e-13,8.310052579529591e-13
6,0.6,-0.037753005337206914,0.04327873194749579,0.20416408944033473,-0.09500000000000018,0.03865411712292761,0.09173947272896779,-0.07948001123622726,0.09111311988946733,0.07192439882175924,-0.2000000000000059,0.08137708867984982,0.1931357320609901,-2.3268147222684143e-12,2.6592168254496165e-12,2.105213320147613e-12,-5.872437156201236e-12,2.3683649851660645e-12,5.650835754080435e-12
7,0.7,-0.04570100646082953,0.05239004393644239,0.21135652932251053,-0.11500000000000048,0.04679182599091247,0.11105304593506651,-0.07948001123622726,0.09111311988946733,0.07192439882175924,-0.2000000000000059,0.08137708867984982,0.1931357320609901,-2.3268147222684143e-12,2.6592168254496165e-12,2.105213320147613e-12,-5.872437156201236e-12,2.3683649851660645e-12,5.650835754080435e-12
8,0.8,-0.05364900758445213,0.06150135592538899,0.21854896920468636,-0.13500000000000076,0.05492953485889734,0.13036661914116524,-0.07948001123622726,0.09111311988946733,0.07192439882175924,-0.2000000000000059,0.08137708867984982,0.1931357320609901,-2.3268147222684143e-12,2.6592168254496165e-12,2.105213320147613e-12,-5.872437156201236e-12,2.3683649851660645e-12,5.650835754080435e-12
9,0.9,-0.061597008708074746,0.07061266791433558,0.2257414090868622,-0.15500000000000105,0.06306724372688219,0.14968019234726396,-0.07948001123622728,0.09111311988946734,0.07192439882175924,-0.20000000000000595,0.08137708867984983,0.19313573206099013,-2.3545148975335145e-12,2.6869170007147167e-12,2.119063407780163e-12,-5.927837506731436e-12,2.3960651604311647e-12,5.706236104610635e-12
